year,world_production,indonesia_production,indonesia_share_pct,indonesia_consumption,self_consumption_pct
1995,93878.0,90007.0,95.9,89696.0,99.7
1996,72661.1,59479.0,81.9,59249.0,99.6
1997,65193.7,59194.0,90.8,58838.0,99.4
1998,77131.2,67177.0,87.1,47224.0,70.3
1999,65513.2,52903.0,80.8,73737.0,139.4
2000,71635.2,59879.0,83.6,76096.5,127.1
2001,85316.6,72685.0,85.2,83260.0,114.5
2002,92746.9,79010.0,85.2,66651.0,84.4
2003,131108.6,116415.0,88.8,101118.0,86.9
2004,88952.1,73837.0,83.0,64786.0,87.7
2005,93683.9,78350.0,83.6,70668.0,90.2
2006,86310.8,61408.0,71.1,50139.0,81.6
2007,105795.3,80404.0,76.0,66312.0,82.5
2008,96628.0,70535.0,73.0,66284.0,94.0
2009,108145.6,82033.0,75.9,76922.0,93.8
2010,125002.8,98400.0,78.7,92669.0,94.2
2011,100456.4,72300.0,72.0,81882.0,113.3
2012,129072.4,99900.0,77.4,101123.0,101.2
2013,140899.7,109600.0,77.8,104731.0,95.6
2014,38518.3,0.0,0.0,0.0,
2015,158449.0,139641.0,88.1,126763.1,90.8
2016,159640.9,139611.0,87.5,133809.0,95.8
2017,157627.9,113178.0,71.8,119765.2,105.8
2018,172465.2,131014.0,76.0,124138.0,94.8
2019,187439.1,140796.6,75.1,118798.2,84.4
2020,188891.8,145984.0,77.3,100793.6,69.0
2021,177787.8,135753.0,76.4,125629.6,92.5
2022,186611.5,137124.0,73.5,152747.5,111.4
2023,185691.2,135178.0,72.8,145129.8,107.4
