spice,rank,area,production,share_pct
Anise/Cumin/Coriander,1,India,1960504.5,69.3
Anise/Cumin/Coriander,2,Türkiye,341590.0,12.1
Anise/Cumin/Coriander,3,Mexico,118152.3,4.2
Anise/Cumin/Coriander,4,Russian Federation,84220.5,3.0
Anise/Cumin/Coriander,5,Iran (Islamic Republic of),61553.8,2.2
Anise/Cumin/Coriander,6,"China, mainland",52317.3,1.8
Anise/Cumin/Coriander,7,Syrian Arab Republic,48637.0,1.7
Anise/Cumin/Coriander,8,Egypt,30420.7,1.1
Anise/Cumin/Coriander,9,Morocco,29038.3,1.0
Anise/Cumin/Coriander,10,Viet Nam,18557.8,0.7
Chillies (dry),1,India,2782000.0,47.8
Chillies (dry),2,Bangladesh,662833.0,11.4
Chillies (dry),3,Thailand,328909.7,5.6
Chillies (dry),4,"China, mainland",325522.0,5.6
Chillies (dry),5,Ethiopia,298205.8,5.1
Chillies (dry),6,Myanmar,151787.0,2.6
Chillies (dry),7,Benin,134120.2,2.3
Chillies (dry),8,Côte d'Ivoire,131558.6,2.3
Chillies (dry),9,Pakistan,109615.0,1.9
Chillies (dry),10,Ghana,109359.6,1.9
Chillies (green),1,"China, mainland",17104871.2,49.7
Chillies (green),2,Mexico,3681061.5,10.7
Chillies (green),3,Türkiye,3081010.0,9.0
Chillies (green),4,Spain,1389830.0,4.0
Chillies (green),5,Egypt,1065143.3,3.1
Chillies (green),6,Nigeria,773962.1,2.2
Chillies (green),7,Algeria,624969.6,1.8
Chillies (green),8,United States of America,576743.0,1.7
Chillies (green),9,Tunisia,444948.1,1.3
Chillies (green),10,Netherlands (Kingdom of the),420000.0,1.2
Cinnamon,1,"China, mainland",91892.2,38.5
Cinnamon,2,Viet Nam,65341.3,27.4
Cinnamon,3,Indonesia,55213.0,23.2
Cinnamon,4,Sri Lanka,22410.0,9.4
Cinnamon,5,Madagascar,3248.5,1.4
Cinnamon,6,Timor-Leste,124.3,0.1
Cinnamon,7,Grenada,82.3,0.0
Cinnamon,8,Sao Tome and Principe,57.7,0.0
Cinnamon,9,Dominica,33.9,0.0
Cinnamon,10,Afghanistan,0.0,0.0
Cloves,1,Indonesia,135178.0,72.8
Cloves,2,Madagascar,24680.8,13.3
Cloves,3,United Republic of Tanzania,8581.9,4.6
Cloves,4,Comoros,7662.7,4.1
Cloves,5,Sri Lanka,5899.0,3.2
Cloves,6,Kenya,2103.3,1.1
Cloves,7,"China, mainland",1322.6,0.7
Cloves,8,Malaysia,221.1,0.1
Cloves,9,Grenada,41.7,0.0
Cloves,10,Afghanistan,0.0,0.0
Ginger,1,India,2201000.0,45.3
Ginger,2,Nigeria,781640.7,16.1
Ginger,3,"China, mainland",672914.4,13.8
Ginger,4,Nepal,309533.2,6.4
Ginger,5,Indonesia,198873.3,4.1
Ginger,6,Thailand,174103.2,3.6
Ginger,7,Bangladesh,83726.0,1.7
Ginger,8,Peru,62228.7,1.3
Ginger,9,Sri Lanka,59514.0,1.2
Ginger,10,Cameroon,51763.5,1.1
Nutmeg/Mace/Cardamom,1,Guatemala,95210.9,43.4
Nutmeg/Mace/Cardamom,2,India,54000.0,24.6
Nutmeg/Mace/Cardamom,3,Indonesia,43790.0,20.0
Nutmeg/Mace/Cardamom,4,Lao People's Democratic Republic,9142.5,4.2
Nutmeg/Mace/Cardamom,5,Nepal,8674.0,4.0
Nutmeg/Mace/Cardamom,6,Sri Lanka,4059.0,1.9
Nutmeg/Mace/Cardamom,7,Bhutan,1103.6,0.5
Nutmeg/Mace/Cardamom,8,United Republic of Tanzania,800.3,0.4
Nutmeg/Mace/Cardamom,9,Grenada,714.0,0.3
Nutmeg/Mace/Cardamom,10,Honduras,603.8,0.3
Pepper,1,Viet Nam,257427.1,30.1
Pepper,2,Brazil,126548.0,14.8
Pepper,3,Burkina Faso,73836.2,8.6
Pepper,4,Indonesia,70169.0,8.2
Pepper,5,India,65739.6,7.7
Pepper,6,Iraq,48584.6,5.7
Pepper,7,Sri Lanka,45166.0,5.3
Pepper,8,Malaysia,40675.3,4.8
Pepper,9,"China, mainland",33908.9,4.0
Pepper,10,Tajikistan,23273.4,2.7
Vanilla,1,Madagascar,3113.6,45.0
Vanilla,2,Indonesia,1832.8,26.5
Vanilla,3,Papua New Guinea,491.3,7.1
Vanilla,4,"China, mainland",434.4,6.3
Vanilla,5,Türkiye,396.6,5.7
Vanilla,6,Comoros,219.4,3.2
Vanilla,7,Tonga,196.0,2.8
Vanilla,8,Uganda,184.5,2.7
Vanilla,9,Malawi,19.9,0.3
Vanilla,10,Kenya,15.4,0.2
