spice_area,pop_name,cca3,continent,pop_2022
Afghanistan,Afghanistan,AFG,Asia,41128771
Albania,Albania,ALB,Europe,2842321
Algeria,Algeria,DZA,Africa,44903225
Angola,Angola,AGO,Africa,35588987
Antigua and Barbuda,Antigua and Barbuda,ATG,North America,93763
Argentina,Argentina,ARG,South America,45510318
Armenia,Armenia,ARM,Asia,2780469
Australia,Australia,AUS,Oceania,26177413
Austria,Austria,AUT,Europe,8939617
Azerbaijan,Azerbaijan,AZE,Asia,10358074
Bahamas,Bahamas,BHS,North America,409984
Bahrain,Bahrain,BHR,Asia,1472233
Bangladesh,Bangladesh,BGD,Asia,171186372
Barbados,Barbados,BRB,North America,281635
Belarus,Belarus,BLR,Europe,9534954
Belgium,Belgium,BEL,Europe,11655930
Belize,Belize,BLZ,North America,405272
Benin,Benin,BEN,Africa,13352864
Bhutan,Bhutan,BTN,Asia,782455
Bolivia (Plurinational State of),Bolivia,BOL,South America,12224110
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Europe,3233526
Botswana,Botswana,BWA,Africa,2630296
Brazil,Brazil,BRA,South America,215313498
Brunei Darussalam,Brunei,BRN,Asia,449002
Bulgaria,Bulgaria,BGR,Europe,6781953
Burkina Faso,Burkina Faso,BFA,Africa,22673762
Burundi,Burundi,BDI,Africa,12889576
Cabo Verde,Cape Verde,CPV,Africa,593149
Cambodia,Cambodia,KHM,Asia,16767842
Cameroon,Cameroon,CMR,Africa,27914536
Canada,Canada,CAN,North America,38454327
Central African Republic,Central African Republic,CAF,Africa,5579144
Chad,Chad,TCD,Africa,17723315
Chile,Chile,CHL,South America,19603733
"China, Hong Kong SAR",Hong Kong,HKG,Asia,7488865
"China, Macao SAR",Macau,MAC,Asia,695168
"China, Taiwan Province of",Taiwan,TWN,Asia,23893394
"China, mainland",China,CHN,Asia,1425887337
Colombia,Colombia,COL,South America,51874024
Comoros,Comoros,COM,Africa,836774
Congo,Republic of the Congo,COG,Africa,5970424
Cook Islands,Cook Islands,COK,Oceania,17011
Costa Rica,Costa Rica,CRI,North America,5180829
Croatia,Croatia,HRV,Europe,4030358
Cuba,Cuba,CUB,North America,11212191
Cyprus,Cyprus,CYP,Europe,1251488
Czechia,Czech Republic,CZE,Europe,10493986
Côte d'Ivoire,Ivory Coast,CIV,Africa,28160542
Democratic People's Republic of Korea,North Korea,PRK,Asia,26069416
Democratic Republic of the Congo,DR Congo,COD,Africa,99010212
Denmark,Denmark,DNK,Europe,5882261
Djibouti,Djibouti,DJI,Africa,1120849
Dominica,Dominica,DMA,North America,72737
Dominican Republic,Dominican Republic,DOM,North America,11228821
Ecuador,Ecuador,ECU,South America,18001000
Egypt,Egypt,EGY,Africa,110990103
El Salvador,El Salvador,SLV,North America,6336392
Equatorial Guinea,Equatorial Guinea,GNQ,Africa,1674908
Eritrea,Eritrea,ERI,Africa,3684032
Estonia,Estonia,EST,Europe,1326062
Eswatini,Eswatini,SWZ,Africa,1201670
Ethiopia,Ethiopia,ETH,Africa,123379924
Faroe Islands,Faroe Islands,FRO,Europe,53090
Fiji,Fiji,FJI,Oceania,929766
Finland,Finland,FIN,Europe,5540745
France,France,FRA,Europe,64626628
French Polynesia,French Polynesia,PYF,Oceania,306279
Gabon,Gabon,GAB,Africa,2388992
Gambia,Gambia,GMB,Africa,2705992
Georgia,Georgia,GEO,Asia,3744385
Germany,Germany,DEU,Europe,83369843
Ghana,Ghana,GHA,Africa,33475870
Greece,Greece,GRC,Europe,10384971
Grenada,Grenada,GRD,North America,125438
Guatemala,Guatemala,GTM,North America,17843908
Guinea,Guinea,GIN,Africa,13859341
Guinea-Bissau,Guinea-Bissau,GNB,Africa,2105566
Guyana,Guyana,GUY,South America,808726
Haiti,Haiti,HTI,North America,11584996
Honduras,Honduras,HND,North America,10432860
Hungary,Hungary,HUN,Europe,9967308
