spice,year,world_production
Anise/Cumin/Coriander,1993,407127.99
Anise/Cumin/Coriander,1994,300199.2
Anise/Cumin/Coriander,1995,307668.69
Anise/Cumin/Coriander,1996,331949.76
Anise/Cumin/Coriander,1997,369535.04
Anise/Cumin/Coriander,1998,432930.63
Anise/Cumin/Coriander,1999,402414.52
Anise/Cumin/Coriander,2000,383839.6
Anise/Cumin/Coriander,2001,482084.95
Anise/Cumin/Coriander,2002,496941.25
Anise/Cumin/Coriander,2003,570468.11
Anise/Cumin/Coriander,2004,563850.22
Anise/Cumin/Coriander,2005,551848.23
Anise/Cumin/Coriander,2006,581433.22
Anise/Cumin/Coriander,2007,686806.47
Anise/Cumin/Coriander,2008,711298.5
Anise/Cumin/Coriander,2009,722930.15
Anise/Cumin/Coriander,2010,822923.45
Anise/Cumin/Coriander,2011,947017.18
Anise/Cumin/Coriander,2012,917403.12
Anise/Cumin/Coriander,2013,901290.42
Anise/Cumin/Coriander,2014,1010588.15
Anise/Cumin/Coriander,2015,1104250.25
Anise/Cumin/Coriander,2016,1216086.69
Anise/Cumin/Coriander,2017,2153869.46
Anise/Cumin/Coriander,2018,2010396.82
Anise/Cumin/Coriander,2019,2205061.71
Anise/Cumin/Coriander,2020,2582210.2
Anise/Cumin/Coriander,2021,2723323.86
Anise/Cumin/Coriander,2022,2735250.59
Anise/Cumin/Coriander,2023,2830015.64
Chillies (dry),1993,1728401.43
Chillies (dry),1994,1696192.65
Chillies (dry),1995,1771470.02
Chillies (dry),1996,2067134.53
Chillies (dry),1997,1930158.21
Chillies (dry),1998,2122378.57
Chillies (dry),1999,2220254.38
Chillies (dry),2000,2310824.37
Chillies (dry),2001,2315009.43
Chillies (dry),2002,2193661.49
Chillies (dry),2003,2560943.77
Chillies (dry),2004,2556929.47
Chillies (dry),2005,2526119.5
Chillies (dry),2006,2648580.12
Chillies (dry),2007,2767208.6
Chillies (dry),2008,2845297.3
Chillies (dry),2009,2817353.37
Chillies (dry),2010,2857215.45
Chillies (dry),2011,2965843.63
Chillies (dry),2012,3151129.39
Chillies (dry),2013,3359525.73
Chillies (dry),2014,3700082.97
Chillies (dry),2015,3992633.29
Chillies (dry),2016,3947085.27
Chillies (dry),2017,4498660.76
Chillies (dry),2018,4596473.07
Chillies (dry),2019,4185132.49
Chillies (dry),2020,4343426.96
Chillies (dry),2021,4853913.88
Chillies (dry),2022,4829440.46
Chillies (dry),2023,5821857.76
Chillies (green),1993,9986373.04
Chillies (green),1994,10734347.45
Chillies (green),1995,11888078.15
Chillies (green),1996,13956676.27
Chillies (green),1997,14910533.7
Chillies (green),1998,16283455.83
Chillies (green),1999,17589001.69
Chillies (green),2000,19175049.27
Chillies (green),2001,19941808.04
Chillies (green),2002,21612645.33
Chillies (green),2003,23502116.06
Chillies (green),2004,23803537.33
Chillies (green),2005,24478598.91
Chillies (green),2006,25653744.67
Chillies (green),2007,26314238.57
Chillies (green),2008,27145143.01
Chillies (green),2009,27713145.19
Chillies (green),2010,28788870.14
Chillies (green),2011,29310852.6
Chillies (green),2012,30061210.34
Chillies (green),2013,30982883.14
Chillies (green),2014,15069070.29
Chillies (green),2015,15176909.19
Chillies (green),2016,31094534.23
Chillies (green),2017,32229085.85
Chillies (green),2018,34638414.32
Chillies (green),2019,34666623.39
Chillies (green),2020,33805885.67
Chillies (green),2021,36065365.49
Chillies (green),2022,35713801.7
Chillies (green),2023,34402413.89
Cinnamon,1993,73407.0
Cinnamon,1994,73728.0
Cinnamon,1995,81064.0
Cinnamon,1996,85587.92
Cinnamon,1997,85193.77
Cinnamon,1998,90426.0
Cinnamon,1999,91940.68
Cinnamon,2000,101209.0
Cinnamon,2001,99939.38
Cinnamon,2002,110666.75
Cinnamon,2003,132615.84
Cinnamon,2004,171992.48
Cinnamon,2005,175393.33
Cinnamon,2006,183878.63
Cinnamon,2007,190045.08
Cinnamon,2008,191866.41
Cinnamon,2009,200828.88
Cinnamon,2010,190688.96
Cinnamon,2011,198655.83
Cinnamon,2012,203851.27
Cinnamon,2013,208582.27
Cinnamon,2014,212830.99
Cinnamon,2015,213254.18
Cinnamon,2016,210314.8
Cinnamon,2017,211379.89
Cinnamon,2018,222127.0
Cinnamon,2019,223127.67
Cinnamon,2020,211307.6
Cinnamon,2021,242804.28
Cinnamon,2022,237264.67
Cinnamon,2023,238403.15
Cloves,1993,71487.28
