area,cca3,continent,production,import,export,consumption,import_dependence_pct,self_sufficiency_pct
India,IND,Asia,7063244.1,228432.6,856394.4,6435282.4,3.5,109.8
Bangladesh,BGD,Asia,746559.0,203005.7,2869.9,946694.9,21.4,78.9
Nigeria,NGA,Africa,846258.8,3153.2,54473.9,794938.0,0.4,106.5
"China, mainland",CHN,Asia,1178311.8,286338.0,698642.5,766007.2,37.4,153.8
Thailand,THA,Asia,503405.0,109493.3,101695.4,511202.8,21.4,98.5
Indonesia,IDN,Asia,505056.1,102160.7,144027.0,463189.9,22.1,109.0
Nepal,NPL,Asia,405199.2,25897.2,27441.3,403655.1,6.4,100.4
United States of America,USA,North America,661.8,428600.3,30609.7,398652.4,107.5,0.2
Türkiye,TUR,Asia,357579.8,40207.8,26536.8,371250.7,10.8,96.3
Ethiopia,ETH,Africa,317436.3,2911.5,2053.1,318294.7,0.9,99.7
Viet Nam,VNM,Asia,441685.7,72390.5,278233.7,235842.5,30.7,187.3
Pakistan,PAK,Asia,109620.0,131815.8,9744.1,231691.7,56.9,47.3
Mexico,MEX,North America,191747.9,71444.7,51565.6,211627.0,33.8,90.6
Malaysia,MYS,Asia,52638.9,140012.5,11721.8,180929.7,77.4,29.1
Sri Lanka,LKA,Asia,137048.0,62462.3,43081.4,156428.9,39.9,87.6
Benin,BEN,Africa,134303.5,1905.2,3.0,136205.6,1.4,98.6
Japan,JPN,Asia,45032.8,86361.6,314.3,131080.1,65.9,34.4
Côte d'Ivoire,CIV,Africa,138713.2,1186.5,11955.5,127944.3,0.9,108.4
Myanmar,MMR,Asia,151787.0,3661.0,34196.2,121251.9,3.0,125.2
Ghana,GHA,Africa,113219.2,2513.4,203.0,115529.7,2.2,98.0
Cameroon,CMR,Africa,94648.6,224.3,214.0,94659.0,0.2,100.0
Egypt,EGY,Africa,94395.6,30025.7,37999.8,86421.5,34.7,109.2
Burkina Faso,BFA,Africa,73836.2,890.3,115.4,74611.1,1.2,99.0
Morocco,MAR,Africa,56298.7,24980.3,7752.3,73526.7,34.0,76.6
Saudi Arabia,SAU,Asia,0.0,83306.9,10964.4,72342.6,115.2,0.0
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,0.0,72155.0,4724.5,67430.5,107.0,0.0
Iraq,IRQ,Asia,49128.6,13390.1,49.3,62469.5,21.4,78.6
Iran (Islamic Republic of),IRN,Asia,65507.1,17726.5,20962.2,62271.4,28.5,105.2
Germany,DEU,Europe,0.0,100147.8,39468.8,60678.9,165.0,0.0
Republic of Korea,KOR,Asia,26012.0,35176.3,3764.9,57423.4,61.3,45.3
Canada,CAN,North America,12427.0,48261.9,7998.6,52690.4,91.6,23.6
Guyana,GUY,South America,51511.9,597.8,100.8,52008.9,1.1,99.0
Guatemala,GTM,North America,98105.1,6897.1,55030.9,49971.3,13.8,196.3
Mali,MLI,Africa,41207.7,4655.4,729.8,45133.3,10.3,91.3
Netherlands (Kingdom of the),NLD,Europe,0.0,124021.6,80134.4,43887.1,282.6,0.0
United Arab Emirates,ARE,Asia,0.0,147057.7,107211.6,39846.1,369.1,0.0
South Africa,ZAF,Africa,18043.1,24915.7,3728.2,39230.6,63.5,46.0
Philippines,PHL,Asia,30043.6,9110.8,30.0,39124.4,23.3,76.8
Niger,NER,Africa,36764.8,981.1,124.8,37621.1,2.6,97.7
Democratic Republic of the Congo,COD,Africa,36688.1,226.2,137.1,36777.2,0.6,99.8
Syrian Arab Republic,SYR,Asia,49574.8,7250.1,20550.0,36274.9,20.0,136.7
"China, Taiwan Province of",TWN,Asia,24433.2,12371.8,1743.8,35061.1,35.3,69.7
Algeria,DZA,Africa,15405.2,18090.6,45.9,33449.8,54.1,46.1
Brazil,BRA,South America,126548.0,19773.7,115621.4,30700.3,64.4,412.2
Tunisia,TUN,Africa,31679.1,8274.8,12059.8,27894.2,29.7,113.6
Russian Federation,RUS,Europe,84220.5,20141.3,76539.1,27822.7,72.4,302.7
Kenya,KEN,Africa,25225.4,3780.0,2316.8,26688.6,14.2,94.5
Bosnia and Herzegovina,BIH,Europe,25069.1,986.5,609.9,25445.7,3.9,98.5
Kazakhstan,KAZ,Asia,440.5,25087.3,433.6,25094.2,100.0,1.8
Yemen,YEM,Asia,0.0,25153.0,160.6,24992.4,100.6,0.0
France,FRA,Europe,0.0,34761.6,10163.2,24598.4,141.3,0.0
Tajikistan,TJK,Asia,23273.4,747.4,70.0,23950.7,3.1,97.2
Zimbabwe,ZWE,Africa,23815.5,109.2,2222.5,21702.1,0.5,109.7
Jamaica,JAM,North America,20504.0,1424.0,382.3,21545.7,6.6,95.2
Lao People's Democratic Republic,LAO,Asia,21709.9,1172.4,2951.4,19930.9,5.9,108.9
Australia,AUS,Oceania,6069.0,14381.2,919.0,19531.2,73.6,31.1
Singapore,SGP,Asia,0.0,31092.6,12829.5,18263.1,170.2,0.0
Poland,POL,Europe,0.0,29204.9,13057.2,16147.7,180.9,0.0
Sudan,SDN,Africa,10520.1,5577.3,488.8,15608.5,35.7,67.4
Cambodia,KHM,Asia,15864.5,450.4,1286.5,15028.4,3.0,105.6
Oman,OMN,Asia,0.0,14964.5,863.5,14101.0,106.1,0.0
United Republic of Tanzania,TZA,Africa,18883.8,1263.8,6597.5,13550.1,9.3,139.4
Kuwait,KWT,Asia,0.0,13702.5,775.9,12926.6,106.0,0.0
Qatar,QAT,Asia,0.0,12799.1,12.3,12786.7,100.1,0.0
Argentina,ARG,South America,10760.0,5955.2,5378.9,11336.3,52.5,94.9
Afghanistan,AFG,Asia,17908.6,5217.5,12217.1,10909.0,47.8,164.2
Senegal,SEN,Africa,5039.7,5688.3,33.8,10694.2,53.2,47.1
Libya,LBY,Africa,1270.0,8533.1,2.3,9800.8,87.1,13.0
Austria,AUT,Europe,0.0,14172.7,5945.9,8226.8,172.3,0.0
South Sudan,SSD,Africa,6933.1,1232.2,0.6,8164.7,15.1,84.9
Sweden,SWE,Europe,0.0,9304.1,1453.1,7851.0,118.5,0.0
Ukraine,UKR,Europe,2460.0,6959.2,2349.1,7070.1,98.4,34.8
Czechia,CZE,Europe,0.0,11607.1,4728.6,6878.5,168.7,0.0
Switzerland,CHE,Europe,0.0,7186.6,406.2,6780.4,106.0,0.0
Israel,ISR,Asia,0.0,7940.5,1855.8,6084.7,130.5,0.0
Somalia,SOM,Africa,0.0,5793.3,0.5,5792.8,100.0,0.0
Panama,PAN,North America,5018.0,865.0,118.9,5764.1,15.0,87.1
Bahrain,BHR,Asia,0.0,5941.4,260.4,5681.0,104.6,0.0
Romania,ROU,Europe,0.0,8391.9,2902.7,5489.2,152.9,0.0
North Macedonia,MKD,Europe,5262.7,1221.6,1092.6,5391.7,22.7,97.6
Serbia,SRB,Europe,5282.4,1936.7,2019.0,5200.1,37.2,101.6
Chile,CHL,South America,0.0,5288.9,627.3,4661.7,113.5,0.0
Denmark,DNK,Europe,0.0,5777.3,1182.1,4595.2,125.7,0.0
Togo,TGO,Africa,3616.4,937.4,18.2,4535.6,20.7,79.7
Belgium,BEL,Europe,0.0,11239.3,6791.9,4447.4,252.7,0.0
Greece,GRC,Europe,0.0,4913.8,495.6,4418.2,111.2,0.0
Sierra Leone,SLE,Africa,4294.9,19.5,0.7,4313.7,0.5,99.6
New Zealand,NZL,Oceania,0.0,4284.4,107.9,4176.4,102.6,0.0
Portugal,PRT,Europe,0.0,4764.9,610.1,4154.8,114.7,0.0
Hungary,HUN,Europe,0.0,6689.8,2667.4,4022.4,166.3,0.0
