area,cca3,continent,consumption_t,pop_2022,grams_per_capita_yr
Guyana,GUY,South America,52008.9,808726,64309.7
Nepal,NPL,Asia,403655.1,30547580,13214.0
Benin,BEN,Africa,136205.6,13352864,10200.5
Bosnia and Herzegovina,BIH,Europe,25445.7,3233526,7869.3
Jamaica,JAM,North America,21545.7,2827377,7620.4
Sri Lanka,LKA,Asia,156428.9,21832143,7165.1
Thailand,THA,Asia,511202.8,71697030,7130.0
Brunei Darussalam,BRN,Asia,2920.1,449002,6503.5
Bangladesh,BGD,Asia,946694.9,171186372,5530.2
Grenada,GRD,North America,684.4,125438,5456.3
Malaysia,MYS,Asia,180929.7,33938221,5331.1
Bhutan,BTN,Asia,3967.4,782455,5070.5
Seychelles,SYC,Africa,541.9,107118,5059.2
Qatar,QAT,Asia,12786.7,2695122,4744.4
Côte d'Ivoire,CIV,Africa,127944.3,28160542,4543.4
India,IND,Asia,6435282.4,1417173173,4540.9
Türkiye,TUR,Asia,371250.7,85341241,4350.2
United Arab Emirates,ARE,Asia,39846.1,9441129,4220.5
Bahrain,BHR,Asia,5681.0,1472233,3858.7
Maldives,MDV,Asia,2020.7,523787,3857.8
Nigeria,NGA,Africa,794938.0,218541212,3637.5
Ghana,GHA,Africa,115529.7,33475870,3451.1
Cameroon,CMR,Africa,94659.0,27914536,3391.0
Burkina Faso,BFA,Africa,74611.1,22673762,3290.6
Oman,OMN,Asia,14101.0,4576298,3081.3
Singapore,SGP,Asia,18263.1,5975689,3056.2
Kuwait,KWT,Asia,12926.6,4268873,3028.1
Guatemala,GTM,North America,49971.3,17843908,2800.5
Cabo Verde,CPV,Africa,1627.4,593149,2743.6
Lao People's Democratic Republic,LAO,Asia,19930.9,7529475,2647.0
"China, Macao SAR",MAC,Asia,1821.9,695168,2620.8
Ethiopia,ETH,Africa,318294.7,123379924,2579.8
North Macedonia,MKD,Europe,5391.7,2093599,2575.3
Netherlands (Kingdom of the),NLD,Europe,43887.1,17564014,2498.7
Tajikistan,TJK,Asia,23950.7,9952787,2406.4
Viet Nam,VNM,Asia,235842.5,98186856,2402.0
Mauritius,MUS,Africa,3020.1,1299469,2324.1
Tunisia,TUN,Africa,27894.2,12356117,2257.5
Myanmar,MMR,Asia,121251.9,54179306,2238.0
Antigua and Barbuda,ATG,North America,206.5,93763,2202.7
Mali,MLI,Africa,45133.3,22593590,1997.6
Saudi Arabia,SAU,Asia,72342.6,36408820,1987.0
Morocco,MAR,Africa,73526.7,37457971,1962.9
Tonga,TON,Oceania,203.1,106858,1900.7
Indonesia,IDN,Asia,463189.9,275501339,1681.3
Mexico,MEX,North America,211627.0,127504125,1659.8
Syrian Arab Republic,SYR,Asia,36274.9,22125249,1639.5
Trinidad and Tobago,TTO,North America,2278.4,1531044,1488.1
"China, Taiwan Province of",TWN,Asia,35061.1,23893394,1467.4
Libya,LBY,Africa,9800.8,6812341,1438.7
Niger,NER,Africa,37621.1,26207977,1435.5
Barbados,BRB,North America,402.2,281635,1428.2
Iraq,IRQ,Asia,62469.5,44496122,1403.9
Canada,CAN,North America,52690.4,38454327,1370.2
Zimbabwe,ZWE,Africa,21702.1,16320537,1329.7
Panama,PAN,North America,5764.1,4408581,1307.5
Kazakhstan,KAZ,Asia,25094.2,19397998,1293.6
Djibouti,DJI,Africa,1361.9,1120849,1215.1
United States of America,USA,North America,398652.4,338289857,1178.4
Republic of Korea,KOR,Asia,57423.4,51815810,1108.2
Bahamas,BHS,North America,443.8,409984,1082.5
Japan,JPN,Asia,131080.1,123951692,1057.5
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,67430.5,67508936,998.8
Pakistan,PAK,Asia,231691.7,235824862,982.5
Austria,AUT,Europe,8226.8,8939617,920.3
Fiji,FJI,Oceania,855.5,929766,920.1
Cambodia,KHM,Asia,15028.4,16767842,896.3
New Zealand,NZL,Oceania,4176.4,5185288,805.4
Denmark,DNK,Europe,4595.2,5882261,781.2
Egypt,EGY,Africa,86421.5,110990103,778.6
Switzerland,CHE,Europe,6780.4,8740472,775.7
South Sudan,SSD,Africa,8164.7,10913164,748.1
Australia,AUS,Oceania,19531.2,26177413,746.1
Algeria,DZA,Africa,33449.8,44903225,744.9
Sweden,SWE,Europe,7851.0,10549347,744.2
Yemen,YEM,Asia,24992.4,33696614,741.7
Ireland,IRL,Europe,3720.8,5023109,740.7
Germany,DEU,Europe,60678.9,83369843,727.8
Serbia,SRB,Europe,5200.1,7221365,720.1
Iceland,ISL,Europe,262.4,372899,703.8
Iran (Islamic Republic of),IRN,Asia,62271.4,88550570,703.2
Slovenia,SVN,Europe,1490.2,2119844,703.0
Israel,ISR,Asia,6084.7,9038309,673.2
Czechia,CZE,Europe,6878.5,10493986,655.5
South Africa,ZAF,Africa,39230.6,59893885,655.0
Costa Rica,CRI,North America,3317.1,5180829,640.3
Cyprus,CYP,Europe,787.4,1251488,629.2
Senegal,SEN,Africa,10694.2,17316449,617.6
Croatia,HRV,Europe,2416.3,4030358,599.5
Estonia,EST,Europe,794.2,1326062,598.9
Cook Islands,COK,Oceania,10.2,17011,598.4
Lebanon,LBN,Asia,3232.8,5489739,588.9
Vanuatu,VUT,Oceania,186.0,326740,569.2
French Polynesia,PYF,Oceania,172.9,306279,564.6
Kyrgyzstan,KGZ,Asia,3697.8,6630623,557.7
"China, mainland",CHN,Asia,766007.2,1425887337,537.2
Norway,NOR,Europe,2890.6,5434319,531.9
Malta,MLT,Europe,280.2,533286,525.5
Togo,TGO,Africa,4535.6,8848699,512.6
Sierra Leone,SLE,Africa,4313.7,8605718,501.3
Kenya,KEN,Africa,26688.6,54027487,494.0
Slovakia,SVK,Europe,2674.6,5643453,473.9
"China, Hong Kong SAR",HKG,Asia,3535.5,7488865,472.1
Suriname,SUR,South America,279.3,618040,452.0
Georgia,GEO,Asia,1626.6,3744385,434.4
Greece,GRC,Europe,4418.2,10384971,425.4
Poland,POL,Europe,16147.7,39857145,405.1
Portugal,PRT,Europe,4154.8,10270865,404.5
Hungary,HUN,Europe,4022.4,9967308,403.6
Niue,NIU,Oceania,0.8,1934,398.1
Faroe Islands,FRO,Europe,20.9,53090,393.1
Luxembourg,LUX,Europe,248.1,647599,383.0
Belgium,BEL,Europe,4447.4,11655930,381.6
France,FRA,Europe,24598.4,64626628,380.6
Democratic Republic of the Congo,COD,Africa,36777.2,99010212,371.4
Saint Kitts and Nevis,KNA,North America,17.1,47657,358.8
Montenegro,MNE,Europe,212.6,627082,339.0
Philippines,PHL,Asia,39124.4,115559009,338.6
Dominican Republic,DOM,North America,3742.5,11228821,333.3
Sudan,SDN,Africa,15608.5,46874204,333.0
Armenia,ARM,Asia,916.0,2780469,329.4
Somalia,SOM,Africa,5792.8,17597511,329.2
Jordan,JOR,Asia,3520.1,11285869,311.9
Romania,ROU,Europe,5489.2,19659267,279.2
Saint Lucia,LCA,North America,48.2,179857,268.0
Afghanistan,AFG,Asia,10909.0,41128771,265.2
Uruguay,URY,South America,907.3,3422794,265.1
Argentina,ARG,South America,11336.3,45510318,249.1
Chile,CHL,South America,4661.7,19603733,237.8
New Caledonia,NCL,Oceania,65.8,289950,226.9
Belize,BLZ,North America,89.5,405272,220.9
Mauritania,MRT,Africa,1031.6,4736139,217.8
Namibia,NAM,Africa,548.3,2567012,213.6
El Salvador,SLV,North America,1349.9,6336392,213.0
United Republic of Tanzania,TZA,Africa,13550.1,65497748,206.9
