area,export,production,import,grows_pct_of_exports
United Arab Emirates,107211.6,0.0,147057.7,0.0
Spain,96585.7,0.0,99453.2,0.0
Netherlands (Kingdom of the),80134.4,0.0,124021.6,0.0
Germany,39468.8,0.0,100147.8,0.0
United States of America,30609.7,661.8,428600.3,2.2
Italy,21904.2,0.0,19654.3,0.0
Bulgaria,20617.7,0.0,4777.6,0.0
Poland,13057.2,0.0,29204.9,0.0
Singapore,12829.5,0.0,31092.6,0.0
Zambia,11079.6,521.8,338.5,4.7
Saudi Arabia,10964.4,0.0,83306.9,0.0
France,10163.2,0.0,34761.6,0.0
