spice,area,cca3,continent,production,consumption
Anise/Cumin/Coriander,Afghanistan,AFG,Asia,17908.6,9842.8
Anise/Cumin/Coriander,Albania,ALB,Europe,0.0,-773.5
Anise/Cumin/Coriander,Algeria,DZA,Africa,0.0,7617.8
Anise/Cumin/Coriander,Angola,AGO,Africa,0.0,28.0
Anise/Cumin/Coriander,Antigua and Barbuda,ATG,North America,0.0,20.9
Anise/Cumin/Coriander,Argentina,ARG,South America,7577.4,2564.5
Anise/Cumin/Coriander,Armenia,ARM,Asia,0.0,65.6
Anise/Cumin/Coriander,Australia,AUS,Oceania,1147.0,3922.8
Anise/Cumin/Coriander,Austria,AUT,Europe,0.0,678.6
Anise/Cumin/Coriander,Azerbaijan,AZE,Asia,0.0,324.6
Anise/Cumin/Coriander,Bahamas,BHS,North America,0.0,54.1
Anise/Cumin/Coriander,Bahrain,BHR,Asia,0.0,1422.7
Anise/Cumin/Coriander,Bangladesh,BGD,Asia,0.0,45719.9
Anise/Cumin/Coriander,Barbados,BRB,North America,0.0,41.3
Anise/Cumin/Coriander,Belarus,BLR,Europe,0.0,21.6
Anise/Cumin/Coriander,Belgium,BEL,Europe,0.0,324.8
Anise/Cumin/Coriander,Belize,BLZ,North America,0.0,0.4
Anise/Cumin/Coriander,Benin,BEN,Africa,0.0,7.2
Anise/Cumin/Coriander,Bhutan,BTN,Asia,108.1,145.1
Anise/Cumin/Coriander,Bolivia (Plurinational State of),BOL,South America,0.0,97.5
Anise/Cumin/Coriander,Bosnia and Herzegovina,BIH,Europe,800.1,316.2
Anise/Cumin/Coriander,Botswana,BWA,Africa,0.0,2.9
Anise/Cumin/Coriander,Brazil,BRA,South America,0.0,9602.6
Anise/Cumin/Coriander,Brunei Darussalam,BRN,Asia,0.0,255.8
Anise/Cumin/Coriander,Bulgaria,BGR,Europe,0.0,-19154.7
Anise/Cumin/Coriander,Burundi,BDI,Africa,0.0,0.0
Anise/Cumin/Coriander,Cabo Verde,CPV,Africa,0.0,6.1
Anise/Cumin/Coriander,Cambodia,KHM,Asia,0.0,6.3
Anise/Cumin/Coriander,Cameroon,CMR,Africa,0.0,47.4
Anise/Cumin/Coriander,Canada,CAN,North America,12427.0,12762.6
Anise/Cumin/Coriander,Chad,TCD,Africa,0.0,3.5
Anise/Cumin/Coriander,Chile,CHL,South America,0.0,584.3
Anise/Cumin/Coriander,"China, Hong Kong SAR",HKG,Asia,0.0,357.9
Anise/Cumin/Coriander,"China, Macao SAR",MAC,Asia,0.0,6.9
Anise/Cumin/Coriander,"China, mainland",CHN,Asia,52317.3,105293.0
Anise/Cumin/Coriander,"China, Taiwan Province of",TWN,Asia,0.0,1616.0
Anise/Cumin/Coriander,Colombia,COL,South America,0.0,1340.1
Anise/Cumin/Coriander,Comoros,COM,Africa,0.0,4.7
Anise/Cumin/Coriander,Congo,COG,Africa,0.0,15.3
Anise/Cumin/Coriander,Cook Islands,COK,Oceania,0.0,0.7
Anise/Cumin/Coriander,Costa Rica,CRI,North America,0.0,242.5
Anise/Cumin/Coriander,Côte d'Ivoire,CIV,Africa,0.0,16.9
Anise/Cumin/Coriander,Croatia,HRV,Europe,0.0,310.1
Anise/Cumin/Coriander,Cuba,CUB,North America,0.0,329.3
Anise/Cumin/Coriander,Cyprus,CYP,Europe,0.0,131.3
Anise/Cumin/Coriander,Czechia,CZE,Europe,0.0,1043.6
Anise/Cumin/Coriander,Democratic People's Republic of Korea,PRK,Asia,0.0,13.0
Anise/Cumin/Coriander,Democratic Republic of the Congo,COD,Africa,0.0,11.2
Anise/Cumin/Coriander,Denmark,DNK,Europe,0.0,348.1
Anise/Cumin/Coriander,Djibouti,DJI,Africa,0.0,12.2
Anise/Cumin/Coriander,Dominica,DMA,North America,0.0,0.4
Anise/Cumin/Coriander,Dominican Republic,DOM,North America,0.0,411.5
Anise/Cumin/Coriander,Ecuador,ECU,South America,10.8,1406.0
Anise/Cumin/Coriander,Egypt,EGY,Africa,30420.7,9264.4
Anise/Cumin/Coriander,El Salvador,SLV,North America,0.0,129.2
Anise/Cumin/Coriander,Equatorial Guinea,GNQ,Africa,0.0,1.5
Anise/Cumin/Coriander,Eritrea,ERI,Africa,0.0,4.7
Anise/Cumin/Coriander,Estonia,EST,Europe,0.0,-131.4
Anise/Cumin/Coriander,Eswatini,SWZ,Africa,0.0,1.6
Anise/Cumin/Coriander,Ethiopia,ETH,Africa,4869.4,3536.4
Anise/Cumin/Coriander,Faroe Islands,FRO,Europe,0.0,0.7
Anise/Cumin/Coriander,Fiji,FJI,Oceania,0.0,486.6
Anise/Cumin/Coriander,Finland,FIN,Europe,0.0,-874.9
Anise/Cumin/Coriander,France,FRA,Europe,0.0,3760.8
Anise/Cumin/Coriander,French Polynesia,PYF,Oceania,0.0,0.2
Anise/Cumin/Coriander,Gabon,GAB,Africa,0.0,2.9
Anise/Cumin/Coriander,Gambia,GMB,Africa,0.0,1.3
Anise/Cumin/Coriander,Georgia,GEO,Asia,0.0,704.0
Anise/Cumin/Coriander,Germany,DEU,Europe,0.0,9937.2
Anise/Cumin/Coriander,Ghana,GHA,Africa,0.0,218.0
Anise/Cumin/Coriander,Greece,GRC,Europe,0.0,451.2
Anise/Cumin/Coriander,Grenada,GRD,North America,0.0,15.2
Anise/Cumin/Coriander,Guatemala,GTM,North America,2111.5,2249.0
Anise/Cumin/Coriander,Guinea,GIN,Africa,0.0,5.1
