year,world_production,madagascar_production,madagascar_share_pct
1995,2733.7,0.0,0.0
1996,3804.9,880.0,23.1
1997,3649.8,860.0,23.6
1998,4194.1,1000.0,23.8
1999,4105.6,1100.0,26.8
2000,3768.5,880.0,23.4
2001,4544.9,920.0,20.2
2002,5247.1,880.0,16.8
2003,4764.3,525.0,11.0
2004,5784.6,839.0,14.5
2005,7445.5,2613.0,35.1
2006,9007.0,2534.0,28.1
2007,9327.5,2661.0,28.5
2008,9301.7,2686.0,28.9
2009,9216.5,2710.0,29.4
2010,8334.9,2742.0,32.9
2011,8687.1,2790.9,32.1
2012,8145.4,2929.2,36.0
2013,7698.8,3021.3,39.2
2014,6822.6,3139.0,46.0
2015,7004.6,2922.0,41.7
2016,7535.2,2943.6,39.1
2017,7399.5,3003.1,40.6
2018,7462.1,3095.8,41.5
2019,6794.1,3014.2,44.4
2020,6287.2,3037.7,48.3
2021,6418.8,3141.4,48.9
2022,6686.7,3161.6,47.3
2023,6921.7,3113.6,45.0
